Site,Arthropod,Bird,Lizard,Mammal,Unknown,Removed,Dropped,Interact,mammal.visits,mean_per_Interact,Total_fruits,Canopy,Lat,Lon,Elevation,Date,dist_road,dist_built,Area,Age,Dist_continent,Number_neighbors,per_forest,Native_plants,Bird diversity,Bird mass,Reptile_diversity,Reptile_mass,per_built,per_crops,Population,GDP,mammal_presence,road_length,near_length,elevation_range,number_of_tourists,economic_isolation,bird.visits,mass_effect,heavy_rain,island,Group,Continent,Site
Antigua_1,8,12,36,0,12,0,0,60,0,0.333333333,180,84.58333333,17.05357,-61.85704667,100,5/19/2022,258.1059833,401.3756399,297.96,29,637.038,5,27.2,256,42,2462.115,7,3548,40.5,3.6,83933,2.393,0,231,38607.25915,365,247000,0.7888304,0,368.1532914,NO,A,A,A,Antigua_1
Antigua_2,16,18,40,0,18,0,0,76,0,0.422222222,180,85.33333333,17.05079167,-61.85622417,100,5/19/2022,543.7927366,670.560963,297.96,29,637.038,5,27.2,256,42,2462.115,7,3548,40.5,3.6,83933,2.393,0,231,38607.25915,365,247000,0.7888304,0,368.1532914,NO,A,A,A,Antigua_2
Dominica_1,26,9,5,2,11,11,8,38,1,0.211111111,180,87.25,15.34525584,-61.30821815,754.8333333,3/6/2023 0:00,208.9132475,2441.073982,770.37,1.7,462.279,4,76,980,55,4656.74,4,3553,5.2,0.2,70739,0.783,1,298,29996.61333,1422,71000,0.8690439,0,745.361486,NO,B,B,A,Dominica_1
Dominica_2,10,7,2,0,3,104,1,116,3,0.644444444,180,84.08333333,15.34557702,-61.30965446,789.6666667,3/6/2023 0:00,57.61615512,2313.545339,770.37,1.7,462.279,4,76,980,55,4656.74,4,3553,5.2,0.2,70739,0.783,1,298,29996.61333,1422,71000,0.8690439,0,745.361486,NO,B,B,A,Dominica_2
Grenada_1,52,1,20,0,4,60,0,85,1,0.472222222,180,87.16666667,12.09784417,-61.68057167,389.1666667,5/4/2022,377.999773,909.9811924,328.45,12,137.382,2,71.1,751,49,2851.965,6,8600,25.6,0.2,101006,1.634,1,215,25979.75462,823,168000,0.836479,0,35.95301874,NO,C,A,A,Grenada_1
Grenada_2,81,19,19,0,1,0,0,39,0,0.216666667,180,83.66666667,12.09687167,-61.68022167,364.25,5/4/2022,491.9313782,1010.538675,328.45,12,137.382,2,71.1,751,49,2851.965,6,8600,25.6,0.2,101006,1.634,0,215,25979.75462,823,168000,0.836479,0,35.95301874,NO,C,A,A,Grenada_2
Guadeloupe_1,0,1,0,0,0,118,NA,119,2,0.661111111,180,86.5,16.03066,-61.667345,968.4166667,4/25/2023,428.8716021,1763.088673,1437.41,7,527.403,5,48.9,1182,70,3330.465,3,11710,26.1,17.5,395791,3.513,1,974,8736.71,1450,650000,0.8073948,0,173.9661146,YES,D,A,A,Guadeloupe_1
Guadeloupe_2,1,0,0,0,1,101,NA,102,2,0.566666667,180,85.16666667,16.02874333,-61.667755,936.1666667,4/25/2023,633.8507513,1707.996231,1437.41,7,527.403,5,48.9,1182,70,3330.465,3,11710,26.1,17.5,395791,3.513,1,974,8736.71,1450,650000,0.8073948,0,173.9661146,YES,D,A,A,Guadeloupe_2
Martinique_1,3,14,0,0,0,24,7,38,0,0.211111111,180,80.91666667,14.80980083,-61.18197583,719,5/8/2023,191.6376695,2960.325825,1180.25,11,404.453,2,48.4,1205,53,2929.165,2,11697,26.1,10,358749,6.117,0,919,31864.9116,1374,536000,0.8341584,0.5,698.3657185,NO,E,A,A,Martinique_1
Martinique_2,5,19,0,0,0,34,0,53,0.5,0.294444444,180,54.25,14.81029333,-61.18189,747.25,5/8/2023,226.1783916,3007.83994,1180.25,11,404.453,2,48.4,1205,53,2929.165,2,11697,26.1,10,358749,6.117,1,919,31864.9116,1374,536000,0.8341584,0,698.3657185,NO,E,A,A,Martinique_2
